Name                                          Stmts   Miss  Cover
scraper\sources\aigenis\parsers\detail.py       237      0   100%
scraper\sources\aigenis\parsers\history.py       46      0   100%
scraper\sources\aigenis\parsers\listing.py      236      4    98%
scraper\validation.py                            33      0   100%
telegram_bot\__init__.py                          3      0   100%
telegram_bot\_bot_instance.py                     8      0   100%
telegram_bot\_cmd_helpers.py                     16      9    44%
telegram_bot\admin.py                            68     44    35%
telegram_bot\bond_picker.py                     251     90    64%
telegram_bot\bot.py                             149    104    30%
telegram_bot\commands.py                        692    562    19%
telegram_bot\handler_state.py                     7      0   100%
telegram_bot\handlers.py                         15      0   100%
telegram_bot\helpers.py                          73     38    48%
telegram_bot\menus.py                            59     28    53%
telegram_bot\metrics.py                           6      0   100%
telegram_bot\middleware.py                       99     65    34%
telegram_bot\positions.py                       121     17    86%
telegram_bot\preferences_repository.py           31      0   100%
telegram_bot\settings.py                        118     88    25%
telegram_bot\stars_payments.py                   93     23    75%
telegram_bot\subscriptions.py                   158      1    99%
visualization\__init__.py                         3      0   100%
visualization\charts.py                          66     53    20%
-----------------------------------------------------------------
TOTAL                                         15385   2107    86%
